,사업지역(시군구),포획일자,포획장소,털색,몸무게(kg),품종,연령,성별,건강상태,특이사항,상태,TNR일자,TNR병원,방사일자,방사장소,종결정보,장소일치여부
2962,북구,2023-07-06,북구 칠성시장로34,노랑,4.5,코숏,2살,암컷,양호,특이 사항 없음 ,방사,2023-07-06,북부동물병원,2023-07-10,북구 칠성시장로34,-,False
2963,북구,2023-07-06,칠곡중앙대로 115길24,고등어,5.2,코숏,1살,수컷,양호,무,방사,2023-07-06,강동물병원,2023-07-07,칠곡중앙대로 115길24,-,False
2964,달성군,2023-07-06,테크노대로5길 80 인근,치즈,4.0,코숏,3살,수컷,양호,없음,방사,2023-07-06,현풍동물병원,2023-07-07,테크노대로5길 80 인근,-,False
2965,북구,2023-07-06,관음동로 17길16,삼색,3.8,코숏,1살,암컷,양호,2주항생제투여,방사,2023-07-06,강동물병원,2023-07-10,북구관음동로 17길16,-,True
2966,동구,2023-07-06,대구광역시 동구 아양로 53-4,치즈,4.8,코숏,2살,수컷,양호,코에 상처,방사,2023-07-06,동대구동물의료센터,2023-07-07,대구광역시 동구 아양로 53-4,-,False
2967,서구,2023-07-06,평리로350-1,치즈,4.0,한국고양이,1살,수컷,양호,온순함,방사,2023-07-06,대구시수의사회(삼성),2023-07-07,평리로350-1,-,False
2968,달서구,2023-07-05,대구시 달서구 송현동 2길 35,흰색검정색,3.82,코숏,1살,암컷,양호,없음,방사,2023-07-05,세림종합동물병원,2023-07-08,대구시 달서구 송현동2길35,-,True
2969,북구,2023-07-05,북구 칠성시장로34,노랑,5.0,코숏,3살,수컷,양호,특이 사항 없음 ,방사,2023-07-05,북부동물병원,2023-07-06,북구 칠성시장로34,-,False
2970,북구,2023-07-05,대구시 북구 검단공단로 21길 54-42,삼색이,2.6,믹스,2살,암컷,양호,눈 순막 비대,방사,2023-07-05,가나동물병원,2023-07-08,대구시 북구 검단공단로 21길 54-42,-,False
2971,남구,2023-07-05,대구 남구 현충로 16길 5-1,검은색,4.0,코숏,1살,암컷,양호,무,방사,2023-07-05,독사랑동물병원,2023-07-08,대구 남구 현충로 16길 5-1,-,False
2972,서구,2023-07-05,서구 큰장로 109-15일대,흰색&갈색,5.0,코숏,3살,수컷,양호,.,방사,2023-07-05,대구시수의사회(보경),2023-07-06,서구 큰장로 109-15일대,-,False
2973,달서구,2023-07-05,조암남로16길20,노란색 흰색,3.5,믹스,2살,수컷,양호,없음,방사,2023-07-05,동행동물병원,2023-07-06,조암남로 16길 20,-,True
2974,달서구,2023-07-05,조암남로16길20,갈색 흰색,4.4,믹스,2살,수컷,양호,없음,방사,2023-07-05,동행동물병원,2023-07-06,조암남로 16길 20,-,True
2975,북구,2023-07-05,북구 칠성시장로34,삼색,3.0,코숏,1살,암컷,치료요함,왼쪽 앞발 발톱 빠짐 ,방사,2023-07-05,북부동물병원,2023-07-08,북구 칠성시장로34,-,False
2976,동구,2023-07-05,대구광역시 동구 아양로 53-4,삼색,2.7,코숏,2살,암컷,양호,흰색 많은 삼색,방사,2023-07-05,동대구동물의료센터,2023-07-08,대구광역시 동구 아양로 53-4,-,False
2977,북구,2023-07-05,대구시 북구 검단공단로 21길 54-42,삼색이,3.0,믹스,2살,암컷,양호,없음,방사,2023-07-05,가나동물병원,2023-07-08,대구시 북구 검단공단로 21길 54-42,-,False
2978,군위군,2023-07-05,군위읍 대북리,치즈색,4.3,코숏,2살,수컷,양호,치즈색 줄무늬,방사,2023-07-05,군위종합동물병원,2023-07-06,군위읍 대북리,-,False
2979,달서구,2023-07-04,상인로26길30,갈색 검은색 노란색,4.2,믹스,1살,암컷,양호,야간포획,방사,2023-07-04,동행동물병원,2023-07-07,상인로26길30,-,False
2980,북구,2023-07-04,대구시 북구 검단공단로 21길 54-42,삼색이,3.8,믹스,2살,암컷,양호,없음,종결,2023-07-04,가나동물병원,-,-,수술 후 사망,True
2981,북구,2023-07-04,북구 칠성시장로34,흰색+검정,3.4,코숏,1살,암컷,양호,특이 사항 없음 ,방사,2023-07-04,북부동물병원,2023-07-07,북구 칠성시장로34,-,False
2982,서구,2023-07-04,평리로 350-1,흰색검정색,4.2,코숏,4살,수컷,치료요함,안면부 상처,방사,2023-07-04,대구시수의사회(평리),2023-07-05,평리로 350-1,-,False
2983,동구,2023-07-04,대구광역시 동구 아양로 53-4,검 갈,3.2,코숏,1살,암컷,양호,왼쪽 눈 찡그림,방사,2023-07-04,동대구동물의료센터,2023-07-07,대구광역시 동구 아양로 53-4,-,False
2984,서구,2023-07-04,비산동 1219-35 (서대구로62길 92),치즈태비,4.22,한국고양이,3살,수컷,치료요함,잇몸질환. 꼬리길이 약 12cm.,방사,2023-07-04,대구수의사회(아이펫),2023-07-05,비산동 1219-35 (서대구로62길 92),-,False
2985,북구,2023-07-03,대구시 북구 검단공단로 21길 54-42,삼색이,3.3,믹스,2살,암컷,양호,없음,방사,2023-07-03,가나동물병원,2023-07-06,대구시 북구 검단공단로 21길 54-42,-,False
2986,동구,2023-07-03,대구광역시 동구 해동로 135-1,고등어,3.4,코숏,1살,암컷,양호,털에 녹색 염색,방사,2023-07-03,동대구동물의료센터,2023-07-06,대구광역시 동구 해동로135-1,-,True
2987,달성군,2023-07-03,테크노중앙대로 326-55,호피,3.0,코숏,1살,암컷,양호,없음,방사,2023-07-03,현풍동물병원,2023-07-06,테크노중앙대로 326-55 인근,-,True
2988,달성군,2023-07-03,테크노중앙대로 326-55 인근,호피,3.0,코숏,1살,암컷,양호,없음,방사,2023-07-03,현풍동물병원,2023-07-06,테크노중앙대로 326-55 인근,-,False
2989,북구,2023-07-03,관음동로 17길16,검정,5.2,코숏,1살,수컷,양호,2주항생제투여,방사,2023-07-03,강동물병원,2023-07-04,관음동로 17길16,-,False
2990,북구,2023-07-03,관음동로 17길16,치즈,5.1,코숏,1살,수컷,양호,무,방사,2023-07-03,강동물병원,2023-07-04,관음동로 17길16,-,False
