,종류,공고번호,발견장소,특징,성별,상태
8092,부산-영도-2024-00063,해돋이1길 62,영도 63,암컷,방사,믹스|검.흰.회
8096,경기-광주-2024-00682,광주시 담안길 45..,길고양이,수컷,방사,한국고양이|검백색
8100,경기-하남-2024-00230,역말로 70-1,귀진드기 기생충감염..,수컷,방사,코숏|치즈
8104,광주-서구-2024-00196,광주광역시 서구 매..,왼쪽앞발 며느리발톱..,수컷,방사,코리안숏헤어|고등어태비
8108,전북-정읍-2024-00539,정읍북로710,없음,수컷,방사,한국고양이|G
8112,경기-남양주-2024-00940,가곡리 87,없음,수컷,방사,ksh|고등어
8116,광주-동구-2024-00104,동구 동계천로53번..,없음,암컷,방사,코숏|검.흰
8120,충남-천안-2024-00664,한들3로 35-23..,없음,수컷,방사,젖소|흰색
8124,인천-부평-2024-00083,경원대로1130번길..,고등어,수컷,방사,한국고양이|고등어
8128,경기-광명-2024-00265,경기도 광명시 광이..,캣맘 요청으로 수술..,암컷,방사,코리안숏헤어|고등어
8132,인천-부평-2024-00082,경원대로1130번길..,고등어,수컷,방사,한국고양이|고등어
8136,서울-동대문-2024-00185,이문동 삼성래미안 ..,특이사항 없음,암컷,방사,코리안 숏헤어|치즈
8140,서울-서대문-2024-00343,세무서7길6-2,허피스감염 구내염 ..,수컷,방사,ksh|젖소
8144,서울-송파-2024-00500,가락몰/1-83,임신,암컷,방사,DSH|yellow tabby
8148,서울-양천-2024-00257,목동동로430 (1..,사나움,수컷,방사,한국고양이|흰/고등어테비
8152,서울-양천-2024-00256,목동동로430 (1..,사나움,암컷,방사,한국고양이|흰/고등어테비
8156,경기-화성-2024-00958,봉담 동화마을 5단..,무,암컷,방사,코리안숏헤어|흰검
8160,서울-관악-2024-00152,신림로2길11,없음,암컷,방사,한국고양이|고등어흰색
8164,경기-화성-2024-00963,봉담 동화리 594..,무,수컷,방사,코리안숏헤어|흰황
8168,경기-화성-2024-00961,봉담 동화리 483..,무,수컷,방사,코리안숏헤어|흰색
8172,경기-용인-2024-00991,한국민속촌_05,우천으로 인한 방사..,수컷,방사,코숏|치즈
8176,경기-용인-2024-00990,한국민속촌_04,없음,암컷,방사,코숏|삼색
8180,경기-화성-2024-00960,봉담 동화리 483..,무,암컷,방사,코리안숏헤어|흰황검
8184,경기-용인-2024-00992,한국민속촌_06,없음,암컷,방사,코숏|고등어
8188,경기-용인-2024-00989,한국민속촌_03,우천으로 인한 방사..,수컷,방사,코숏|치즈
8192,경기-용인-2024-00996,한국민속촌_10,없음,수컷,방사,코숏|흰검
8196,경기-과천-2024-00118,과천시 광창 2로 ..,고등어냥이,암컷,포획,코숏|고등어
8200,경기-양평-2024-00553,경기도 양평군 단월..,특이한 문양의 3색..,암컷,방사,한국|3색
8204,서울-양천-2024-00255,목동동로430 (1..,사나움,수컷,방사,한국고양이|흰/검정
8208,충북-청주-2024-01042,흥덕구 강서동 40..,없음,암컷,방사,코숏|검정 노랑 흰색
8212,경기-의정부-2024-00303,녹양로 62번길,피하수액 /항생제,수컷,방사,코숏|고등어
8216,경기-양평-2024-00549,경기도 양평군 개군..,매우 깨끗한 상태이..,암컷,방사,한국|고등어
8220,인천-계양-2024-00109,계양구 효서로 34..,난폭함,수컷,방사,코숏|젖소
8224,서울-강서-2024-00163,강서 좋은 교회,1-89,암컷,방사,KSH|삼색
8228,대구-중구-2024-00127,경북여고 인근,없슴,수컷,방사,한국고양이|흰색 회색
8232,서울-서초-2024-00127,서초구 염곡말길 2..,고등어,암컷,방사,코숏|고등어
8236,충남-서천-2024-00106,충남 서천..,전신 연갈색에 전지..,수컷,방사,한국산고양이|갈색
8240,서울-서초-2024-00152,내곡동 능안마을,치즈,수컷,방사,코숏|노랑
8244,전북-정읍-2024-00530,부전안길5-14,없음,수컷,방사,한국고양이|검.백
8248,인천-부평-2024-00079,길주로508번길18..,치즈,수컷,방사,한국고양이|노란흰 치즈
8252,경남-거창-2024-00406,거창읍대평리금천탕앞..,경계심함,미상,방사,코슈|연노랑색
8256,전북-정읍-2024-00529,용계1길47-12,없음,수컷,방사,한국고양이|회백색
8260,경기-안산-2024-00604,와동 790-3,없음,수컷,방사,한국고양이|올블랙
8264,경북-문경-2024-00162,중창리길,좀 어림,암컷,중성화,한국고양이|삼색
8268,경남-거창-2024-00405,거창읍대평리중동주유..,경계심함,미상,방사,코슈|진회색
8272,인천-동구-2024-00075,송림로39번길,새끼낳지못하게 포획..,암컷,방사,한국고양이|검정+흰색
8276,충북-청주-2024-01093,송절동 123번지,없음,수컷,방사,코숏|검정 흰색
8280,경기-용인-2024-00987,한일로23번길 30..,우천으로 인한 방사..,수컷,방사,코숏|흰검
8284,경기-화성-2024-00959,봉담 동화마을 5단..,무,암컷,방사,믹스|갈검흰
8288,전북-전주-2024-01057,덕진구 초당길 60..,"종합백신,광견병백신..",수컷,방사,KSH|고등어
8292,대구-달성-2024-00232,비슬로967,없음,수컷,방사,"잡종|노랑,흰색"
8296,강원-삼척-2024-00160,미로강변로139-1..,없슴,수컷,방사,코숏|흑백
8300,제주-제주-2024-01075,해안동 주르레길 6..,갈색고양이,수컷,방사,코리안숏헤어|갈색
8304,경기-평택-2024-00369,경기도 평택시 현덕..,고등어,수컷,방사,코리안숏헤어|고등어
8308,제주-제주-2024-01076,한림읍 귀덕리 68..,회색고양이,암컷,방사,코리안숏헤어|회색
8312,경남-하동-2024-00043,경상남도 하동군 금..,없음,수컷,방사,코숏|치즈
8316,경기-안산-2024-00603,건건 7길 12,없음,암컷,방사,한국고양이|고등어줄무늬
8320,대전-중구-2024-00072,대종로704번길2,없음,암컷,방사,코리안숏헤어|백황흑
8324,경기-용인-2024-01025,기흥구 향린2로 1..,",",수컷,방사,KSH|치즈
8328,대구-서구-2024-00133,내당동12-37,,수컷,방사,"코숏|치즈태비,백"
8332,대구-달서-2024-00225,달서구 상인동 산 ..,없음,암컷,방사,"코숏|흰색, 노랑색"
8336,제주-제주-2024-01061,용담일동 남성로3길..,옅은 회색,암컷,방사,K/S|회색
8340,경남-진주-2024-00698,지수면 용봉로 7-..,,수컷,방사,코리안숏헤어|치즈
8344,인천-남동-2024-00254,청능대로451,없음,암컷,방사,코리안숏헤어|삼색
8348,서울-종로-2024-00101,홍지문2길 20 상..,해당사항 없음,수컷,방사,코리안숏헤어|tabby
8352,충북-청주-2024-01092,송절동 123번지,없음,암컷,방사,코숏|노랑 흰색
8356,세종-세종-2024-00259,[30012] 세종..,없음,수컷,방사,234-104|재색+흰
8360,강원-홍천-2024-00110,북방면 팔봉산로 2..,순함,암컷,방사,"한국고양이|흰색, 치즈색, 검은색 등"
8364,경남-밀양-2024-00373,내이동 아리랑시장,없음,수컷,방사,한국고양이|갈색
8368,경기-안산-2024-00602,사동 1639 그랑..,없음,암컷,방사,한국고양이|노랑
8372,경기-부천-2024-00314,(원미구) 중동 1..,"자궁충농증심각환묘,..",암컷,방사,한국길고양이|삼색이
8376,충남-천안-2024-00695,원성동 443-4,없음,수컷,방사,코숏|젖소
8380,경남-산청-2024-00234,단성면 호암로 50..,없음,수컷,방사,한국 고양이|노랑 흰색
8384,서울-송파-2024-00508,위례포레샤인13단지..,없음,암컷,방사,코숏|삼색
8388,경기-화성-2024-00955,봉담 분천리 367..,무,수컷,방사,코리안숏헤어|흰황
8392,인천-계양-2024-00107,인천광역시 계양구 ..,사납지는 않지만 겁..,수컷,방사,한국고양이|검갈흰 태비
8396,울산-남구-2024-00097,중앙로 300번길 ..,무,암컷,방사,한국산고양이|치즈
8400,경기-남양주-2024-00921,용정리288-2,"사나움,진통제 투여..",암컷,방사,k.c.|황백
8404,경기-고양-2024-00500,지축동 884,,수컷,방사,K.S.H|턱시도
8408,강원-삼척-2024-00159,방재로8,없슴,수컷,방사,코숏|흑백
8412,경기-시흥-2024-00328,하중동 782-1,치즈,수컷,방사,한국길고양이|치즈
8416,경기-고양-2024-00498,지축동 848,,수컷,방사,K.S.H|치즈
8420,경기-시흥-2024-00331,동아아파트,고등어,수컷,방사,한국길고양이|고등어
8424,충북-청주-2024-01091,우록 4길 70-5..,없음,수컷,방사,코숏|검정 흰색
8428,경기-시흥-2024-00329,하중동 782-1,치즈,수컷,방사,한국길고양이|치즈
8432,경기-고양-2024-00497,지축동 848,,수컷,방사,K.S.H|고등어
8436,충북-청주-2024-01039,오창읍 2산단 4로..,없음,암컷,방사,코숏|흰색
8440,경기-안산-2024-00601,고잔동 646-21..,없음,암컷,방사,한국고양이|삼색
8444,경기-파주-2024-00303,경기도 파주시 문산..,임신,암컷,방사,코숏|흰색
8448,경기-남양주-2024-00920,사릉로436-1,"사나움, 진통제 투..",수컷,방사,k.c.|흑갈백
8452,경기-파주-2024-00302,축현리 137-11..,온순함,수컷,방사,ksh|턱시도
8456,전북-익산-2024-00675,선화로10길34,없음,수컷,방사,코쇼|노랑
8460,전북-익산-2024-00685,함라면 다망리 연화..,빨강색 목걸이착용,수컷,방사,코쇼|검정/흰
8464,강원-춘천-2024-00383,일성트루엘 101동..,.,수컷,방사,코숏|점박
8468,강원-춘천-2024-00382,퇴계동1144-6장..,코점,수컷,방사,코숏|턱시도
8472,경기-파주-2024-00304,경기도 파주시 문산..,임신,암컷,방사,코숏|삼색
8476,전북-익산-2024-00684,함라면 다망리 연화..,없음,암컷,방사,코쇼|호피
8480,전북-군산-2024-00333,서수면 하용전길 1..,-,암컷,방사,코리안숏헤어|카오스
8484,대구-북구-2024-00104,대구시 북구 서변로..,없음,수컷,방사,믹스|흰색
8488,경기-고양-2024-00495,가좌동 165-1,,암컷,방사,K.S.H|삼색
8492,대구-서구-2024-00135,평리로35길62,온순함,암컷,방사,한국고양이|치즈태비
8496,울산-북구-2024-00111,천곡초등학교 근처,겁이 많음,수컷,방사,"ksh|회색, 흰색"
8500,전북-익산-2024-00678,함라면 다망리 연화..,없음,수컷,방사,코쇼|검정/흰
8504,전북-익산-2024-00676,함라면 함라면사무소..,없음,수컷,방사,코쇼|호피
8508,경북-문경-2024-00161,연소길105,순하고 사람을 따름..,암컷,중성화,한국고양이|삼색
8512,경기-성남-2024-00199,분당구 불정로50,없음,수컷,방사,한국고양이|검정
8516,전남-무안-2024-00085,동부센트레빌,2485,수컷,방사,코숏|치즈
8520,경기-안성-2024-00317,도림목재 창고,없음,암컷,방사,한국|삼색
8524,충남-보령-2024-00264,충청남도 보령시 옥..,x,수컷,방사,ksh|검갈흰
8528,전북-익산-2024-00683,함라면 다망리 연화..,없음,암컷,방사,코쇼|노랑
8532,경기-파주-2024-00300,경기도 파주시 파평..,없음,수컷,방사,코숏|치즈
8536,전북-익산-2024-00680,함라면 다망리 연화..,없음,수컷,방사,코쇼|노랑
8540,경기-안산-2024-00600,부곡동 641-5,없음,수컷,방사,한국고양이|흰고
8544,충북-충주-2024-00200,충주시 동량면 조동..,검흰,수컷,방사,코숏|검흰
8548,충남-천안-2024-00693,원성동 443-4,없음,수컷,방사,코숏|턱시도
8552,경기-의정부-2024-00300,행복로 48,피하수액 /항생제,수컷,방사,코숏|고등어
8556,경북-성주-2024-00009,성주 금수면 명천로..,백색 암컷,암컷,방사,믹스|백색
8560,충북-청주-2024-01017,예심복지재단,가슴 부위 흰 털,수컷,방사,코숏|흰+ 노
8564,충북-진천-2024-00139,이월면 내촌리 14..,특이사항없음,수컷,방사,한국고양이|흰색
8568,인천-동구-2024-00074,동산로12번길,새끼낳지못하게 포획..,수컷,방사,한국고양이|노랑+흰색
8572,충북-청주-2024-01018,가덕딸기,없음,암컷,방사,믹스|삼색
8576,인천-연수-2024-00141,먼우금로 299,없음,수컷,방사,코숏|검정
8580,인천-연수-2024-00134,인천 송도과학로16..,없음,수컷,방사,코숏|치즈태비
8584,서울-용산-2024-00217,용산구 청파로93길..,양호함,암컷,방사,코숏|진삼색
8588,경남-고성-2024-00800,죽계리 456-63..,일반적임,수컷,방사,코숏|흰/검
8592,충남-천안-2024-00659,청당동 백석교회 뒤..,없음,수컷,방사,코숏|노랑+흰색
8596,충북-청주-2024-01016,예심복지재단,가슴 부위 흰 털,수컷,방사,코숏|치즈
8600,경기-남양주-2024-00919,금곡로19번길7-3..,"사나움,진통제 투여..",수컷,방사,k.c.|흑백
8604,경남-밀양-2024-00372,청도면 덕법길 55..,없음,수컷,방사,한국고양이|흑백색
8608,경남-밀양-2024-00370,청도면 덕법길 55..,없음,암컷,방사,한국고양이|삼색
8612,대구-달성-2024-00231,대구광역시 달성군 ..,양호,수컷,방사,KSH|흰갈
8616,서울-서초-2024-00126,서초구 신흥말길 8..,치즈,수컷,방사,코숏|반노랑
8620,전남-광양-2024-00193,광영로4주변,임신중이었음,암컷,방사,코리안숏|흰/검
8624,충북-청주-2024-01090,송절동 123번지,없음,수컷,방사,코숏|검정 흰색
8628,인천-부평-2024-00076,동수로128번길40..,턱시도,수컷,방사,한국고양이|검흰 턱시도
8632,충북-청주-2024-01103,용담 E편한 세상 ..,없음,암컷,방사,코숏|갈색 노랑 흰색
8636,전북-군산-2024-00332,서수면 하용전길 1..,-,암컷,방사,코리안숏헤어|카오스
8640,서울-종로-2024-00100,와룡공원길 192,해당사항 없음,수컷,방사,코리안숏헤어|brown/white
8644,대전-중구-2024-00047,대전광역시 중구 동..,없음,수컷,방사,코리안숏헤어|황흰
8648,전북-군산-2024-00335,서수면 하용전길 1..,-,수컷,방사,코리안숏헤어|고등어태비
8652,경남-진주-2024-00787,사동마을회관주변,보통,암컷,방사,코숏|검정 노랑 흰색
8656,서울-용산-2024-00216,용산구 한강대로50..,임신중,암컷,방사,코숏|검정색
8660,경남-진주-2024-00789,수목원로55번길18..,보통,수컷,방사,코숏|검정 흰색
8664,경남-진주-2024-00793,사동마을회관주변,보통,암컷,방사,코숏|검정 흰색
8668,경남-진주-2024-00791,사동마을회관주변,배에 흰털,수컷,방사,코숏|검정
8672,충남-서천-2024-00099,충청남도 서천군 마..,복부 하얀털,수컷,중성화,믹스묘|검정
8676,경기-성남-2024-00308,중원구 산성대로55..,없음,수컷,방사,한국고양이|암청색(고등어)+흰색
8680,서울-영등포-2024-00111,신길동 4958,없음,수컷,방사,한국고양이|검정/흰색
8684,서울-영등포-2024-00115,여의대방로43나길4..,상태 양호,수컷,방사,코숏|치즈색
8688,인천-부평-2024-00074,부영로165,치즈,수컷,방사,한국고양이|노란  치즈
8692,서울-노원-2024-00229,공릉로126(109..,양호,암컷,방사,ksh|카오스
8696,서울-강동-2024-00162,강동구 선사현대아파..,사나움,수컷,방사,코숏|검정 흰색
8700,경기-광주-2024-00680,광주시 지위동길 3..,길고양이,수컷,방사,한국고양이|노랑색
8704,경기-남양주-2024-00929,창현 신명아파트,없음,수컷,방사,ksh|고등어
8708,부산-강서-2024-00033,강동동 43-39,강서 33,수컷,방사,믹스|황.흰
8712,서울-동작-2024-00218,상도로49길 11,사나움,수컷,방사,KSH|흰색
8716,경남-창원-2024-00473,(서상동)서상동 2..,미수술 방사,암컷,,한국고양이|검정 흰색
8720,경남-진해-2024-00272,(제덕동)동일아파트..,없음,수컷,방사,한국고양이|노랑 흰색
8724,서울-중랑-2024-00324,신내1동중앙하이츠,없음,수컷,방사,코숏|흰색검정
8728,제주-제주-2024-01154,애월읍 유수암평화길..,없음,수컷,방사,"한국고양이|회색,흰색"
8732,제주-제주-2024-01178,한림읍 귀덕 5길 ..,없음,암컷,방사,한국고양이|턱시도
8736,광주-광주광역시-2024-00624,남구 주월동 주월교..,없음,수컷,방사,코숏|흰.노
8740,경기-파주-2024-00299,경기도 파주시 문산..,"왼쪽눈 상태안좋음,..",수컷,방사,코숏|치즈
8744,경남-사천-2024-00161,곤명면 초량길 인근..,없음,수컷,방사,한국고양이|검정
8748,서울-광진-2024-00187,자양번영로37-4,혈뇨 검사필요함,암컷,방사,코숏|흰색검정줄무늬
8752,서울-중랑-2024-00323,용마산로669,없음,수컷,방사,코숏|검정줄무늬
8756,경기-군포-2024-00238,한라 1차 놀이터밥..,없음,수컷,방사,코숏|고등어
8760,부산-강서-2024-00034,강동동 43-39,강서 34,암컷,방사,믹스|검.황
8764,경기-남양주-2024-00925,월문리 323-3,없음,수컷,방사,ksh|고등어&흰색
8768,경남-마산-2024-00602,(월영동)화인아트빌..,없음,암컷,방사,한국고양이|노랑 검정 흰색
8772,충북-청주-2024-01022,예심복지재단,온 몸 고등어,수컷,방사,코숏|고등어
8776,부산-강서-2024-00035,강동동 43-39,강서 35,암컷,방사,믹스|검.흰.황
8780,경기-하남-2024-00225,서하남로 88,귀진드기 기생충감염..,암컷,방사,코숏|치즈
8784,광주-광주광역시-2024-00616,서구 풍암2로 36..,없음,수컷,방사,코숏|검.갈
8788,서울-중랑-2024-00327,염광아파트,없음,수컷,방사,코숏|노랑
8792,제주-제주-2024-01179,한림읍 금능길 85..,없음,수컷,방사,한국고양이|검정
8796,경남-마산-2024-00608,(상남동)경남전자고..,없음,암컷,방사,한국고양이|노랑 회색 흰색
8800,충남-천안-2024-00663,한들3로 35-23..,없음,암컷,방사,치즈|치즈
8804,경남-마산-2024-00600,(월영동)문화서6길..,없음,수컷,방사,한국고양이|노랑 흰색
8808,부산-강서-2024-00032,제도로 1092번다..,강서 32,암컷,방사,믹스|검.흰.회
8812,서울-광진-2024-00189,자양번영로37-4,없음,수컷,방사,코숏|갈색줄무늬
8816,경남-마산-2024-00601,(상남동)경남전자고..,없음,수컷,방사,한국고양이|검정 흰색
8820,충남-아산-2024-00971,송악면 외암로 55..,없음,수컷,방사,"젖소|흰색,검정색"
8824,서울-광진-2024-00186,자양번영로37-4,없음,수컷,방사,코숏|흰색검정
8828,광주-광산-2024-00195,광산구 송도로 15..,없음,암컷,방사,코숏|검
8832,경기-광주-2024-00678,광주시 회안대로 1..,길고양이,수컷,방사,한국고양이|고등어색
8836,광주-광산-2024-00197,광산구 비아로 24..,없음,수컷,방사,코숏|흰.검
8840,경기-남양주-2024-00923,월문교회,없음,수컷,방사,ksh|검정&흰색
8844,경기-남양주-2024-00926,와부 두산아파트,없음,수컷,방사,ksh|삼색
8848,경남-마산-2024-00604,(교원동)교방천북길..,없음,수컷,방사,한국고양이|노랑
8852,광주-광산-2024-00198,광산구 비아로 24..,없음,수컷,방사,코숏|흰.검
8856,경기-의왕-2024-00132,숲속 5단지,없음,수컷,방사,코숏|젖소
8860,서울-중랑-2024-00326,극락사,없음,암컷,방사,코숏|흰색검정줄무늬
8864,광주-서구-2024-00193,화정로 280번길,없음,암컷,방사,"코숏|갈,검"
8868,서울-송파-2024-00518,송이로 6길 3,건강상 큰 이상 없..,암컷,방사,코리안숏헤어|삼색
8872,서울-광진-2024-00188,자양번영로37-4,임신초기,암컷,방사,코숏|삼색
8876,서울-중랑-2024-00325,신내1동중앙하이츠,없음,수컷,방사,코숏|흰색검정
8880,충북-청주-2024-01023,예심복지재단,가슴 부위 흰 털,수컷,방사,코숏|고등어
8884,경남-진해-2024-00270,(북부동)웅천로 1..,없음,암컷,방사,한국고양이|검정
8888,서울-송파-2024-00520,경찰병원,건강상 큰 이상 없..,수컷,방사,코리안숏헤어|노랑/흰
8892,경기-광명-2024-00262,경기도 광명시 광이..,캣맘 요청으로 수술..,암컷,방사,코리안숏헤어|삼색이
8896,서울-성동-2024-00144,왕십리로11길15,임신중,암컷,방사,KSH|Tabby/흰색
8900,서울-성동-2024-00148,왕십리로11길15,"치은염,비만",암컷,방사,KSH|삼색
8904,서울-성동-2024-00145,왕십리로11길15,오른쪽 귀끝 잘려있..,암컷,방사,KSH|Tabby/흰색
8908,서울-강남-2024-00199,역삼동730-2,없음,수컷,방사,코숏|고등어.흰색
8912,서울-강남-2024-00197,역삼동730-2,없음음,수컷,방사,코숏|고등어
8916,서울-강서-2024-00159,초원로 61-1,1-88,수컷,방사,KSH|검정
8920,경기-부천-2024-00313,(원미구) 도약로 ..,치즈,수컷,방사,한국길고양이|치즈
8924,경기-용인-2024-00980,한터로 689_09..,없음,수컷,방사,코숏|치즈
8928,경기-용인-2024-00982,한터로662번길 1..,없음,암컷,방사,코숏|흰검
8932,서울-강서-2024-00158,까치산로 12길 1..,1-87,수컷,방사,"KSH|흰색, 검정"
8936,경기-양평-2024-00544,경기도 양평군 청운..,코끝이 약간 헐어있..,암컷,방사,한국|흑백
8940,경기-용인-2024-00975,한터로 690_04..,없음,수컷,방사,코숏|흰색
8944,경기-양평-2024-00539,경기도 양평군 개군..,귀안의 상태가 매우..,수컷,방사,한국|고등어
8948,충남-천안-2024-00648,주공7단지 주차장,없음,수컷,방사,코숏|노랑+흰색
8952,경기-양평-2024-00543,경기도 양평군 개군..,몸에 상처나 부착물..,암컷,방사,한국|흑색
8956,경기-양평-2024-00542,경기도 양평군 개군..,영양상태가 다소 좋..,수컷,방사,한국|흑백
8960,서울-양천-2024-00271,목동6단지,없음,수컷,중성화,코숏|치즈
8964,경기-용인-2024-00978,한터로 690_07..,없음,수컷,방사,코숏|흰검
8968,서울-관악-2024-00151,관악구 광신고 앞 ..,특이사항 없음,암컷,방사,KSH|갈색.흰색
8972,인천-부평-2024-00065,항동로45번길53-..,턱시도,수컷,방사,한국 고양이|검흰색 턱시도
8976,경기-양평-2024-00540,경기도 양평군 개군..,수컷으로서 매우 큰..,수컷,방사,한국|고등어
8980,경기-양평-2024-00541,경기도 양평군 개군..,완전한 백색의 개체..,수컷,방사,한국|백색
8984,전북-군산-2024-00323,구암교회 앞 결혼상..,.,암컷,방사,코리안숏헤어|삼색
8988,서울-강동-2024-00159,강동구 구천면로 4..,턱드름,수컷,방사,코숏|노랑 흰색
8992,경기-용인-2024-00972,한터로662번길 3..,없음,암컷,방사,코숏|삼색
8996,인천-부평-2024-00066,항동로45번길53-..,턱시도,수컷,방사,한국 고양이|검흰색 턱시도
9000,서울-서초-2024-00149,반포자이 아파트,치즈,암컷,방사,코숏|반노랑
9004,경기-수원-2024-00277,세류동 156-45..,.,수컷,방사,한국고양이|고등어
9008,대구-달서-2024-00224,대구시 달서구 성당..,노란 검정 얼룩무늬..,암컷,방사,코숏|노란 검정
9012,충북-충주-2024-00186,수룡봉황길 524-..,베이지색 줄무늬,수컷,방사,코숏|베이지색 줄무늬
9016,경기-시흥-2024-00333,금오로121번길30..,약간순함,수컷,방사,코숏|흰+고등어
9020,서울-강서-2024-00157,초원로 61-1,1-86,암컷,방사,KSH|삼색
9024,서울-마포-2024-00158,마포구 동교로 16..,3종약물 투여완료물..,암컷,방사,코숏|턱시도
9028,충북-충주-2024-00183,살미면 세성로 56..,고동색 흰색 줄무늬..,수컷,방사,코숏|고동색 흰색 줄무늬
9032,인천-남동-2024-00249,논현로46번길23,없음,암컷,방사,코리안숏헤어|검은색
9036,경기-부천-2024-00312,(원미구) 도약로 ..,화이트,수컷,방사,한국길고양이|화이트
9040,경기-안산-2024-00596,이동 230-3 꽃..,없음,수컷,방사,한국고양이|고등어줄무늬
9044,대구-북구-2024-00102,대구시 북구 산격로..,없음,수컷,방사,믹스|고등어색
9048,제주-제주-2024-01059,애월읍 어도봉남길2..,없음,수컷,방사,한국고양이|턱시도
9052,제주-제주-2024-01060,애월읍 장전리167..,임신중,암컷,방사,한국고양이|턱시도
9056,인천-연수-2024-00133,인천 송도과학로16..,없음,암컷,방사,코숏|삼색이
9060,경남-사천-2024-00170,용강동 현대아파트,없음,암컷,방사,한국고양이|치즈
9064,대구-달서-2024-00222,대구광역시 달서구 ..,없음,수컷,방사,코숏|검정색&흰색
9068,인천-남동-2024-00250,논현로46번길23,없음,수컷,방사,코리안숏헤어|턱시도
9072,충북-영동-2024-00033,충북 영동군 황간면..,사나움,수컷,방사,한국산|black
9076,충북-영동-2024-00031,충북 영동군 황간면..,사나움,암컷,방사,한국산|black&white
9080,서울-용산-2024-00213,이촌동 한강맨션 3..,귀진드기치료,암컷,방사,한국고양이|삼색
9084,대구-달서-2024-00223,대구광역시 달서구 ..,없음,수컷,방사,코숏|노란줄무늬 &흰색
9088,강원-홍천-2024-00113,북방면 역전평길 3..,순함,암컷,방사,"한국고양이|흰색, 약간의 회색"
9092,경남-남해-2024-00077,경남 남해군 남면 ..,없음,수컷,방사,한국고양이|흰색
9096,강원-인제-2024-00052,인제읍 회동길 18..,..,수컷,방사,한국고양이|흰색/검정색/ 갈색
9100,경남-남해-2024-00078,경남 남해군 남면 ..,없음,암컷,방사,한국고양이|삼색이
9104,제주-제주-2024-01074,해안동 해안마을7다..,회색고양이,수컷,방사,코리안숏헤어|회색
9108,경기-의정부-2024-00296,추동로 92번길 2..,수액,수컷,방사,ksh|고등어
9112,제주-서귀포-2024-00415,안덕면 서광남로 1..,갈색고양이,수컷,방사,코리안숏헤어|갈색
9116,경기-동두천-2024-00035,동광로 156-9,건강함,암컷,방사,코숏|삼색이
9120,제주-서귀포-2024-00442,신중로 13번길 3..,"입주변,가슴 흰색털..",수컷,방사,ksh|고둥어
9124,인천-계양-2024-00126,계산동 신호등교회,의뢰인이 포획,암컷,방사,한국고양이|갈검색
9128,제주-서귀포-2024-00443,안덕면 창천중앙로 ..,"턱,가슴 흰색털",암컷,방사,ksh|흰색&검정
9132,제주-서귀포-2024-00441,동홍서로 88-3,전체 검정색털,수컷,방사,ksh|검정
9136,전북-군산-2024-00329,구암동 주공아파트 ..,-,암컷,방사,코리안숏헤어|젖소
9140,경남-진주-2024-00697,지수ic인근,,암컷,방사,코리안숏헤어|삼색
9144,전북-군산-2024-00368,서수면 하용전길 1..,.,수컷,방사,코리안숏헤어|치즈
9148,경기-양주-2024-00267,새터로 37,없음,암컷,중성화,"ksh|흰, 갈, 검"
9152,경기-안성-2024-00310,문화예술1길 15,없음,암컷,방사,한국|삼색
9156,인천-서구-2024-00343,서구 청라 라임로1..,없음,암컷,중성화,코숏|고등어
9160,경기-김포-2024-00313,대곶면 송마리 44..,덫 포획 후 이동장..,암컷,방사,야생|검
9164,인천-동구-2024-00071,금송지구재개발지역,귀진드기가 심함.,수컷,방사,한국고양이|검정+흰색조금
9168,대구-달서-2024-00220,대구광역시 달서구 ..,없음,암컷,방사,KSH|검은색 갈색 흰색
9172,전북-군산-2024-00327,서수면 외무장길 7..,-,수컷,방사,코리안숏헤어|턱시도
9176,경기-시흥-2024-00321,공단1대로332번길..,"조금 짧은꼬리, 약..",암컷,방사,한국길고양이|삼색무늬
9180,경기-시흥-2024-00320,공단1대로332번길..,"이마 상처, 약간 ..",수컷,방사,한국길고양이|고등어
9184,경기-광명-2024-00263,경기도 광명시 옥길..,없음,수컷,방사,코리안숏헤어|고등어
9188,대구-달성-2024-00229,다사읍 매곡로 7,.,수컷,방사,한국고양이|백흑
9192,울산-울주-2024-00283,울주경찰서 부근,최근 출산함,암컷,방사,ksh|고등어
9196,대구-달성-2024-00230,다사읍 매곡로 7,.,수컷,방사,한국고양이|백갈
9200,경기-고양-2024-00487,지축동 884,"귀커팅 안됨, 중성..",암컷,방사,K.S.H|치즈
9204,대구-수성-2024-00218,수성구 범안로 77..,.,수컷,방사,코숏|흰 + 검 + 갈
9208,경기-고양-2024-00491,지축동 884,,수컷,방사,K.S.H|턱시도
9212,충북-영동-2024-00030,충북 영동군 양강면..,사나움,수컷,방사,한국산|black&white
9216,인천-계양-2024-00106,인천광역시 계양구 ..,대장고양이 / 항문..,수컷,방사,한국고양이|검갈흰 고등
9220,경기-고양-2024-00490,장자길 48-13,임신,암컷,방사,K.S.H|치즈
9224,전북-익산-2024-00666,함라면 함라면사무소..,없음,수컷,방사,코쇼|회색
9228,경기-고양-2024-00486,장자길 48-13,,수컷,방사,K.S.H|치즈
9232,경북-상주-2024-00499,인평1길 21-14..,특이사항 없음,수컷,방사,코숏|고등어태비
9236,경기-고양-2024-00485,송산로 464-52..,,수컷,방사,K.S.H|흰고등어
9240,경기-고양-2024-00493,원당동 225,,수컷,방사,K.S.H|고등어
