,종류,공고번호,발견장소,특징,성별,상태
5564,경기-오산-2024-00199,청호동,없음,암컷,방사,코숏|삼색
5568,광주-광주광역시-2024-00648,남구 대남대로 남양..,없음,수컷,방사,코숏|검.갈.흰
5572,광주-동구-2024-00111,동구 산수동 산수커..,없음,암컷,방사,코숏|황.백
5576,경남-마산-2024-00646,(상남동)북성로 8..,없음,미상,포획,한국고양이|회색 검정 흰색
5580,광주-북구-2024-00134,북구 동문대로 63..,없음,수컷,중성화,코숏|흰.노
5584,광주-동구-2024-00110,동구 계림동 두산위..,없음,암컷,중성화,코숏|검.흰
5588,경남-창원-2024-00482,(남양동)가음로57..,없음,미상,포획,한국고양이|갈색 검정
5592,충남-천안-2024-00705,충무로 158-10..,없음,암컷,방사,고등어|고등어
5596,경남-창원-2024-00483,(가음동)가음정로2..,없음,미상,포획,한국고양이|갈색 검정 흰색
5600,충남-천안-2024-00706,"다가말2길14, 이..",없음,수컷,방사,치즈|치즈
5604,광주-서구-2024-00210,화정3동 853-9..,없음,수컷,중성화,"코숏|흰,노"
5608,경남-마산-2024-00647,(상남동)북성로 8..,없음,미상,포획,한국고양이|검정
5612,경남-마산-2024-00649,(산호동)산호서8길..,없음,미상,포획,한국고양이|검정
5616,경남-진해-2024-00280,(남양동)가음로57..,없음,미상,포획,한국고양이|갈색 검정
5620,충남-천안-2024-00711,"다가말2길14, 이..",없음,암컷,방사,치즈|치즈
5624,경기-양평-2024-00576,경기도 양평군 양동..,몸에 상처나 부착물..,수컷,방사,한국|고등어
5628,경기-양평-2024-00575,경기도 양평군 개군..,코끝이 심하게 벗겨..,수컷,방사,한국|고등어
5632,경기-양평-2024-00578,경기도 양평군 양동..,전형적인 3색고양이..,암컷,방사,한국|3색
5636,인천-계양-2024-00110,계양구 효서로 34..,우측 항문낭염 럽춰..,수컷,방사,코숏|젖소
5640,충북-제천-2024-00125,단돈리 110-3 ..,4101600 10..,수컷,방사,한국고양이|갈색 검정
5644,인천-미추홀-2024-00170,용현동 118-1,없음,수컷,방사,코숏|치즈
