,사업지역(시군구),포획일자,포획장소,몸무게(kg),성별,상태,TNR일자,TNR병원,방사일자,방사장소,방사포획일치
64,수성구,2024-04-26,수성구 동대구로 52길 55,3.8,암컷,방사,2024-04-26,허동물병원,2024-04-29,수성구 동대구로 52길 55,True
65,북구,2024-04-26,북구 칠성시장로7길33,5.5,수컷,방사,2024-04-26,북부동물병원,2024-04-27,북구칠성시장로7길33,True
66,중구,2024-04-26,남문시장,4.0,암컷,방사,2024-04-26,대구시수의사회(동산),2024-04-30,남문시장,True
67,동구,2024-04-26,대구광역시 동구 팔공로 274 (봉무동 이시아폴리스 더샵 2차),4.2,수컷,방사,2024-04-26,동대구동물의료센터,2024-04-27,대구광역시 동구 팔공로 274,True
68,중구,2024-04-26,남문시장,4.2,수컷,방사,2024-04-26,대구시수의사회(동산),2024-04-30,남문시장,True
69,동구,2024-04-26,대구광역시 동구 팔공로 274 (봉무동 이시아폴리스 더샵 2차),4.36,수컷,방사,2024-04-26,동대구동물의료센터,2024-04-27,대구광역시 동구 팔공로 274,True
70,수성구,2024-04-26,수성구 용학로 46길 40,2.9,암컷,방사,2024-04-26,멘토동물병원,2024-04-29,수성구 용학로 46길 40,True
71,수성구,2024-04-26,동대구로 14길 9-12,5.06,수컷,방사,2024-04-26,신세계동물병원,2024-04-27,동대구로 14길 9-12,True
72,달성군,2024-04-26,테크노중앙공원 ,5.0,수컷,방사,2024-04-26,현풍동물병원,2024-04-27,테크노중앙공원,True
73,수성구,2024-04-26,수성구 동대구로 52길 55,4.0,수컷,방사,2024-04-26,허동물병원,2024-04-27,수성구 동대구로 52길 55,True
74,수성구,2024-04-26,들안로48길 43,2.68,암컷,방사,2024-04-26,허동물병원,2024-04-29,들안로48길 43,True
75,수성구,2024-04-26,들안로48길 43,3.56,암컷,방사,2024-04-26,허동물병원,2024-04-29,들안로48길 43,True
76,서구,2024-04-26,내당동 254-6,4.08,수컷,방사,2024-04-26,대구수의사회(아이펫),2024-04-27,내당동 254-6,True
77,북구,2024-04-25,북구 동암로 38길 19-34,3.3,암컷,방사,2024-04-25,강동물병원,2024-04-29,북구 동암로 38길 19-34,True
78,중구,2024-04-25,종로 23-23,2.94,암컷,방사,2024-04-26,대구시수의사회(동산),2024-04-29,종로 23-23,True
79,중구,2024-04-25,중구 문우관길 30-12,3.19,수컷,방사,2024-04-25,대구시수의사회(동산),2024-04-26,중구 문우관길 30-12,True
80,달서구,2024-04-25,달서구 상인서로 94,4.5,암컷,방사,2024-04-25,애플동물병원,2024-04-29,달서구 상인서로 94,True
81,동구,2024-04-25,대구광역시 동구 팔공로 274 (봉무동 이시아폴리스 더샵 2차),2.8,수컷,방사,2024-04-25,동대구동물의료센터,2024-04-26,대구광역시 동구 팔공로 274 (봉무동 이시아폴리스 더샵 2차),True
82,서구,2024-04-25,달서로54길 1,3.5,암컷,방사,2024-04-25,대구시수의사회(평리),2024-04-29,달서로54길 1,True
83,수성구,2024-04-25,동대구로 14길 9-12,3.88,수컷,방사,2024-04-25,신세계동물병원,2024-04-26,동대구로 14길 9-12,True
84,북구,2024-04-25,북구 학정로 106,3.0,암컷,방사,2024-04-25,강동물병원,2024-04-29,북구 학정로 106,True
85,달서구,2024-04-25,대구시 달서구 파도고개로 12길 42,2.7,암컷,방사,2024-04-25,두류동물병원,2024-04-29,달서구 파도고개로 12길 42,True
86,수성구,2024-04-25,지산동379-1,3.25,암컷,방사,2024-04-25,멘토동물병원,2024-04-29,지산동 379-1,True
87,남구,2024-04-25,대구 남구 대명서로 42-4,3.83,암컷,방사,2024-04-25,독사랑동물병원,2024-04-29,대구 남구 대명서로  42-4,True
88,수성구,2024-04-25,지산동 379-1,2.64,암컷,방사,2024-04-25,멘토동물병원,2024-04-29,지산동 379-1,True
89,중구,2024-04-25, 동덕로30길 45 ,3.08,암컷,방사,2024-04-25,대구시수의사회(삼덕),2024-04-28, 동덕로 122,True
90,달성군,2024-04-25,대구광역시 달성군 화원읍 명곡로 11 (명곡미래빌 1단지),4.3,암컷,방사,2024-04-25,화원연합동물병원,2024-04-28,화원읍 명곡미래빌 1단지,True
91,북구,2024-04-24,북구 학정로 106,3.7,암컷,방사,2024-04-24,강동물병원,2024-04-27,북구 학정로 106,True
92,북구,2024-04-24,북구 학정로 106,3.4,수컷,방사,2024-04-24,강동물병원,2024-04-25,북구 학정로 106,True
93,동구,2024-04-24,대구광역시 동구 팔공로 274,4.4,수컷,방사,2024-04-24,동대구동물의료센터,2024-04-26,대구광역시 동구 팔공로 274 (봉무동 이시아폴리스 더샵 2차),True
