관리번호,사업지역(시도),사업지역(시군구),포획일자,포획장소,털색,몸무게(kg),품종,연령,성별,건강상태,특이사항,상태,TNR일자,TNR병원,방사일자,방사장소,종결정보,포획사진,중성화사진(수술전),중성화사진(수술후),방사사진
4.27343E+14,대구광역시,서구,2024-04-30,내당동12-37,치즈태비백,3,코숏,1년,수컷,양호, ,방사,2024-04-30,대구시수의사회(더펫),2024-05-01,"	내당동12-37",-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301504253.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301504607.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301504107.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011705319[1].jpg
4.27346E+14,대구광역시,수성구,2024-04-30,용학로 42길 13,흰 + 검 + 갈,3.2,코숏,2세 추정,수컷,양호,.,방사,2024-04-30,멘토동물병원,2024-05-01,용학로 42길 13,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301304534.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301304620.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301304716[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405020905310.jpg
4.27342E+14,대구광역시,동구,2024-04-30,대구광역시 동구 국채보상로 159길 38,흰 검,3.3,코리안숏헤어,1살추정,암컷,양호,젖소,방사,2024-04-30,동대구동물의료센터,2024-05-03,대구광역시 동구 국채보상로159길 38,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301404845.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/20240430140478.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301404168.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405031605141.jpg
4.27343E+14,대구광역시,서구,2024-04-30,평리로35길62,치즈태비,3.7,한국고양이,3살 추정,암컷,양호,온순함,방사,2024-04-30,대구시수의사회(삼성),2024-05-03,평리로35길62,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301704846.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301704832.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301704907.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405081505403.jpg
4.27346E+14,대구광역시,수성구,2024-04-30,무학로 35길 114,흰 + 검,3.9,코숏,2세 추정,암컷,양호,.,방사,2024-04-30,멘토동물병원,2024-05-03,무학로 35길 114,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301304770.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301304960[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301304353.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405031405101.jpg
4.27347E+14,대구광역시,달서구,2024-04-30,대구시 달서구 대명천로 59,검정 흰색,3.5,코숏,3년추정,수컷,양호,등부분 검은색 발 배 흰색,방사,2024-04-30,두류동물병원,2024-05-01,대구시 달서구 대명천로 59,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301804988.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301804397.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301804585.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011405507.jpg
4.27345E+14,대구광역시,북구,2024-04-30,대구시 북구 서변로 109,흰색,3.6,믹스,2살추정,수컷,양호,없음,방사,2024-04-30,가나동물병원,2024-05-01,대구시 북구 서변로 109,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/20240501190556.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011905151.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011905591.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011905777.jpg
4.27345E+14,대구광역시,북구,2024-04-30,대구시 북구 서변로,검정,3.5,믹스,2살추정,수컷,양호,없음,방사,2024-04-30,가나동물병원,2024-05-01,대구시 북구 서변로 109,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011905347.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011905481.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011905762.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/20240501190562.jpg
4.27348E+14,대구광역시,달성군,2024-04-30,대구광역시 달성군 화원읍 사문진로 340 ,흰갈,4.1,KSH,1세령,수컷,양호,양호,방사,2024-04-30,화원연합동물병원,2024-05-01,화원읍 사문진로 340,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301404306[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301404432.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301404481[2].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011305188[1].jpg
4.27342E+14,대구광역시,동구,2024-04-30,대구시 동구 방촌로 11길 26,검은색,3.58,코리안숏헤어,1살 추정,수컷,양호,상태 양호,방사,2024-04-30,율하동물병원,2024-05-01,대구시 동구 방촌로 11길 26,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301804218.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301804601.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404301804666.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021205822.jpg
4.27347E+14,대구광역시,달서구,2024-04-29,대구시 달서구 성당로 39길 49-1,노란 검정 ,4.1,코숏,3년추정,암컷,양호,노란 검정 얼룩무늬,방사,2024-04-29,두류동물병원,2024-05-02,달서구 성당로 39길 49-1,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404300804385.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404300804487.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202404300804584.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405030805207.jpg
